study_name,study_folder,objective_metric,git_hash,git_hash_short,git_commit_time,git_message,trial_number,state,datetime_start,datetime_complete,duration_min,optuna_score,optuna_searched,cfg_n_heads,cfg_n_layers,cfg_head_dim,cfg_hidden_size,cfg_max_ep_len,cfg_activation_function,cfg_action_tanh,cfg_attn_pdrop,cfg_embd_pdrop,cfg_resid_pdrop,cfg_use_structured_dropout,cfg_structured_dropout_bottleneck,cfg_structured_dropout_rate,cfg_lr,cfg_momentum,cfg_batch_size,cfg_n_epochs,cfg_early_stopping_patience,cfg_lr_scheduler_patience,cfg_loss,cfg_action_dim,cfg_dataset,cfg_fp_dim,cfg_n_in_state,cfg_valid_set,cfg_random_state,cfg_bb_reward,cfg_bb_scale,cfg_dead_end_reward,cfg_dead_end_scale,cfg_intermediate_reward,cfg_intermediate_scale,cfg_beam_width,cfg_eval_n_batches,cfg_eval_routes_frequency,jsonl_last_epoch,total_jsonl_epochs,fraction_targets_solved,optuna_dropout,optuna_head_dim,optuna_lr,optuna_n_heads,optuna_n_layers,epoch_count,final_train_loss,final_train_action_accuracy,final_valid_loss,final_valid_action_accuracy,final_valid_route_accuracy,best_valid_action_accuracy,best_valid_route_accuracy,seconds_per_epoch,optuna_structured_dropout_bottleneck,optuna_structured_dropout_rate,optuna_attn_pdrop,optuna_embd_pdrop,optuna_resid_pdrop,max_complete_epoch_in_study,epoch_ran_fraction,is_incomplete,is_early_stopped,is_jsonl_unreliable,incomplete_reason,estimated_valid_action_accuracy,estimated_valid_route_accuracy,estimation_n_ref
baseline_small_hyperparameter_tuning,hypertune-baseline_small_hyperparameter_tuning,valid_route_accuracy,96661e62769fd797bedcb96b1977fbd20daf933c,96661e62,2026-06-15T17:41:54+00:00,"plot-learning-curves: include RUNNING trials, not just COMPLETE",10,COMPLETE,2026-06-15 23:53:14.242865,2026-06-16 00:36:35.133208,43.3,0.11301753077209996,head_dim|lr|n_heads|n_layers,2.0,26.0,128.0,256.0,20.0,relu,False,0.0,0.0,0.0,False,,,0.004147849540983384,0.98,512.0,80.0,30.0,10.0,crossEntropyLoss,589.0,small,1024.0,2.0,n1+n5,1.0,0.0,2.0,-2.0,2.0,-2.0,1.0,1.0,2.0,100.0,72,73.0,0.3125,,128.0,0.004147849540983384,2.0,26.0,73.0,0.00828034393701025,0.3929878385017195,0.05837380160422375,0.35242808018116245,0.10966057441253264,0.3542732533758282,0.11301753077209996,34.49790000915527,,,,,,80.0,0.9125,False,False,False,complete,,,
compare_small_standard_dropout_baseline,hypertune-compare_small_standard_dropout_baseline,valid_route_accuracy,99d9854f1a3c2a8e6ea2b15482bd3e79ccaedb2d,99d9854f,2026-06-14T23:05:13+00:00,add structured_dropout_bottleneck to optuna search space and runner override,2,COMPLETE,2026-06-14 23:16:48.194380,2026-06-14 23:52:49.640001,36.0,0.3542732533758282,dropout|head_dim|lr|n_heads|n_layers,2.0,4.0,128.0,256.0,20.0,relu,False,0.07798461551561695,0.07798461551561695,0.07798461551561695,False,,,0.000989914665021749,0.98,512.0,200.0,6.0,,crossEntropyLoss,589.0,small,1024.0,2.0,n1+n5,1.0,0.0,2.0,-2.0,2.0,-2.0,1.0,1.0,2.0,100.0,199,200.0,0.4140625,0.07798461551561695,128.0,0.000989914665021749,2.0,4.0,200.0,0.019776243917559357,0.3609749250558948,0.06978607165538483,0.3507506500041936,0.11357702349869452,0.3542732533758282,0.11637448713166729,10.584993124008179,,,,,,200.0,1.0,False,False,False,complete,,,
small_baseline,hypertune-small_baseline,valid_route_accuracy,4b2f119ca23f517ef35cf582b8de71a0b38ed4f5,4b2f119c,2026-06-14T21:36:49+00:00,add --eval-n-batches to hypertune; fix missing logger in runner; reduce small.yaml eval defaults,2,COMPLETE,2026-06-14 22:02:56.808713,2026-06-14 22:16:43.134513,13.8,0.0,dropout|head_dim|lr|n_heads|n_layers,1.0,3.0,256.0,256.0,20.0,relu,False,0.23809671615661732,0.23809671615661732,0.23809671615661732,False,,,0.003322902115779277,0.98,512.0,200.0,6.0,,crossEntropyLoss,589.0,small,1024.0,2.0,n1+n5,1.0,0.0,2.0,-2.0,2.0,-2.0,1.0,1.0,2.0,100.0,81,82.0,,0.23809671615661732,256.0,0.003322902115779277,1.0,3.0,82.0,0.020987466633827848,0.34671799961901323,0.07148805893735871,0.34286672817243985,0.1061171204774338,0.3452990019290447,0.10872808653487505,9.324953556060791,,,,,,153.0,0.41,False,True,False,early_stopped,,,
compare_small_standard_dropout_baseline,hypertune-compare_small_standard_dropout_baseline,valid_route_accuracy,99d9854f1a3c2a8e6ea2b15482bd3e79ccaedb2d,99d9854f,2026-06-14T23:05:13+00:00,add structured_dropout_bottleneck to optuna search space and runner override,6,COMPLETE,2026-06-15 00:35:29.704011,2026-06-15 00:59:25.974754,23.9,0.3447119013671056,dropout|head_dim|lr|n_heads|n_layers,4.0,3.0,64.0,256.0,20.0,relu,False,0.22112818859902234,0.22112818859902234,0.22112818859902234,False,,,0.0021579431103128624,0.98,512.0,200.0,6.0,,crossEntropyLoss,589.0,small,1024.0,2.0,n1+n5,1.0,0.0,2.0,-2.0,2.0,-2.0,1.0,1.0,2.0,100.0,143,144.0,0.4140625,0.22112818859902234,64.0,0.0021579431103128624,4.0,3.0,144.0,0.017291961057873614,0.34804142729669846,0.06902309315323475,0.3403505829069865,0.10220067139127191,0.3447119013671056,0.1061171204774338,9.652817249298096,,,,,,200.0,0.72,False,True,False,early_stopped,,,
baseline_small_hyperparameter_tuning,hypertune-baseline_small_hyperparameter_tuning,valid_route_accuracy,96661e62769fd797bedcb96b1977fbd20daf933c,96661e62,2026-06-15T17:41:54+00:00,"plot-learning-curves: include RUNNING trials, not just COMPLETE",4,COMPLETE,2026-06-15 22:30:20.040739,2026-06-15 22:45:35.448025,15.3,0.10835509138381201,head_dim|lr|n_heads|n_layers,1.0,4.0,256.0,256.0,20.0,relu,False,0.0,0.0,0.0,False,,,0.00196493812365305,0.98,512.0,80.0,30.0,10.0,crossEntropyLoss,589.0,small,1024.0,2.0,n1+n5,1.0,0.0,2.0,-2.0,2.0,-2.0,1.0,1.0,2.0,100.0,79,80.0,0.34375,,256.0,0.00196493812365305,1.0,4.0,80.0,0.017221751961518417,0.34873321903730664,0.05621194627712525,0.3377505661326847,0.10294666169339799,0.3437054432609243,0.10835509138381201,10.208861351013184,,,,,,80.0,1.0,False,False,False,complete,,,
compare_small_standard_dropout_baseline,hypertune-compare_small_standard_dropout_baseline,valid_route_accuracy,99d9854f1a3c2a8e6ea2b15482bd3e79ccaedb2d,99d9854f,2026-06-14T23:05:13+00:00,add structured_dropout_bottleneck to optuna search space and runner override,1,FAIL,2026-06-14 23:10:19.921709,2026-06-14 23:16:24.942638,6.1,,dropout|head_dim|lr|n_heads|n_layers,3.0,5.0,128.0,384.0,20.0,relu,False,0.16422327444327353,0.16422327444327353,0.16422327444327353,False,,,0.020562188599765826,0.98,512.0,200.0,6.0,,crossEntropyLoss,589.0,small,1024.0,2.0,n1+n5,1.0,0.0,2.0,-2.0,2.0,-2.0,1.0,1.0,2.0,100.0,18,19.0,,0.16422327444327353,128.0,0.020562188599765826,3.0,5.0,19.0,0.015547899026635358,0.3420960287143702,0.05631244638269501,0.3339763482345047,0.10350615441999254,0.34236349911934916,0.10649011562849683,15.460585594177246,,,,,,200.0,0.095,True,False,False,killed,0.417825,0.152931,9.0
compare2_small_standard_dropout,hypertune-compare2_small_standard_dropout,valid_route_accuracy,a7319b783badc12d129e3aeb7e5165f0e4e2a31f,a7319b78,2026-06-15T05:43:54+00:00,"plot-learning-curves: larger fonts, doubled line width, 50% alpha",3,COMPLETE,2026-06-15 06:36:27.024379,2026-06-15 07:20:49.941558,44.4,0.34186027006625846,dropout|head_dim|lr|n_heads|n_layers,2.0,2.0,256.0,512.0,20.0,relu,False,0.12226975068614772,0.12226975068614772,0.12226975068614772,False,,,0.00022732836152001006,0.98,512.0,200.0,20.0,,crossEntropyLoss,589.0,small,1024.0,2.0,n1+n5,1.0,0.0,2.0,-2.0,2.0,-2.0,1.0,1.0,2.0,100.0,199,200.0,0.375,0.12226975068614772,256.0,0.00022732836152001006,2.0,2.0,200.0,0.06528466343033043,0.3481817908382711,0.09612652659416199,0.3411054264866225,0.10443864229765012,0.34186027006625846,0.1051846325997762,13.138670444488525,,,,,,200.0,1.0,False,False,False,complete,,,
compare_small_standard_dropout_baseline,hypertune-compare_small_standard_dropout_baseline,valid_route_accuracy,99d9854f1a3c2a8e6ea2b15482bd3e79ccaedb2d,99d9854f,2026-06-14T23:05:13+00:00,add structured_dropout_bottleneck to optuna search space and runner override,8,COMPLETE,2026-06-15 01:09:27.590017,2026-06-15 01:42:12.874288,32.8,0.3364924934999581,dropout|head_dim|lr|n_heads|n_layers,4.0,5.0,256.0,1024.0,20.0,relu,False,0.05460578970058132,0.05460578970058132,0.05460578970058132,False,,,0.009554403936967893,0.98,512.0,200.0,6.0,,crossEntropyLoss,589.0,small,1024.0,2.0,n1+n5,1.0,0.0,2.0,-2.0,2.0,-2.0,1.0,1.0,2.0,100.0,34,35.0,0.3515625,0.05460578970058132,256.0,0.009554403936967893,4.0,5.0,35.0,0.009888083218935539,0.3324911520838973,0.0382392956803198,0.30705359389415415,0.08989183140619172,0.3364924934999581,0.113390525923163,53.90559434890747,,,,,,200.0,0.175,False,True,False,early_stopped,,,
compare2_small_standard_dropout,hypertune-compare2_small_standard_dropout,valid_route_accuracy,a7319b783badc12d129e3aeb7e5165f0e4e2a31f,a7319b78,2026-06-15T05:43:54+00:00,"plot-learning-curves: larger fonts, doubled line width, 50% alpha",1,COMPLETE,2026-06-15 05:53:00.532314,2026-06-15 06:25:42.141109,32.7,0.3364924934999581,dropout|head_dim|lr|n_heads|n_layers,1.0,3.0,256.0,256.0,20.0,relu,False,0.2605308252179445,0.2605308252179445,0.2605308252179445,False,,,0.0004991593434284382,0.98,512.0,200.0,20.0,,crossEntropyLoss,589.0,small,1024.0,2.0,n1+n5,1.0,0.0,2.0,-2.0,2.0,-2.0,1.0,1.0,2.0,100.0,199,200.0,0.3515625,0.2605308252179445,256.0,0.0004991593434284382,1.0,3.0,200.0,0.053403789389201185,0.3382059534193561,0.08558362039426963,0.3359892644468674,0.10257366654233495,0.3364924934999581,0.10294666169339799,9.363988161087036,,,,,,200.0,1.0,False,False,False,complete,,,
compare2_small_structured_dropout,hypertune-compare2_small_structured_dropout,valid_route_accuracy,e4fc570153c066e17388ad1260a65720f8720f51,e4fc5701,2026-06-15T06:15:41+00:00,hypertune: always run route eval at end of every trial,5,COMPLETE,2026-06-15 11:25:51.475788,2026-06-15 11:59:58.748583,34.1,0.1051846325997762,dropout|head_dim|lr|n_heads|n_layers|structured_dropout_bottleneck,3.0,2.0,128.0,384.0,20.0,relu,False,0.005242989742311376,0.005242989742311376,0.005242989742311376,True,154.0,,0.0002885899898403368,0.98,512.0,200.0,20.0,,crossEntropyLoss,589.0,small,1024.0,2.0,n1+n5,1.0,0.0,2.0,-2.0,2.0,-2.0,1.0,1.0,2.0,100.0,199,200.0,0.3828125,0.005242989742311376,128.0,0.0002885899898403368,3.0,2.0,200.0,0.059097484473816374,0.35204178823151966,0.09502526026751314,0.33565377841147365,0.10462513987318164,0.3361570074645643,0.1051846325997762,9.879582643508911,154.0,,,,,200.0,1.0,False,False,False,complete,,,
